id,kind,name,sortName,birth,death,viaf,wikidata,map,dbi,tgn,geonames,lat,lon,mentions,letters
place-orleans,place,Orléans,Orléans,,,,Q6548,,,7008337,2989317,47.9022,1.9042,2,2
place-ottoman,place,Ottoman Empire,Ottoman Empire,,,,Q12560,,,7024412,,41.0000,29.0000,0,0
place-padova,place,Padua,Padua,,,,Q617,,,7003085,6542281,45.4064,11.8768,1,1
place-paris,place,Paris,Paris,,,,Q90,,,7008038,2988507,48.8566,2.3522,60,35
place-parma,place,Parma,Parma,,,,Q2683,,,7004942,6540120,44.8015,10.3279,1,1
place-picardie,place,Picardy,Picardy,,,,Q13950,,,7024273,2987375,49.5000,2.8333,4,3
place-piemonte,place,Piedmont,Piedmont,,,,Q1216,,,7003120,3170831,45.0522,7.5155,17,11
place-pinerolo,place,Pinerolo,Pinerolo,,,,Q9573,,,7005728,6540662,44.8833,7.3333,4,4
place-pisa,place,Pisa,Pisa,,,,Q13375,,,7006082,6542122,43.7228,10.4017,10,8
place-poitou,place,Poitou,Poitou,,,,Q954076,,,7002891,2986493,46.6486,-0.2478,1,1
place-polonia,place,Poland,Poland,,,,Q36,,,7006366,798544,52.0000,19.0000,2,2
place-porto-ercole,place,Porto Ercole,Porto Ercole,,,,Q1394400,,,1046135,3170119,42.3953,11.2053,1,1
place-portugal,place,Portugal,Portugal,,,,Q45,,,1000090,2264397,38.7000,-9.1833,2,1
place-pragelato,place,Pragelato,Pragelato,,,,Q10201,,,1046177,3169958,45.0167,6.9333,1,1
place-provence,place,Provence,Provence,,,,Q101081,,,7012209,2985246,43.7500,5.5000,1,1
place-rez,place,Île de Ré,Île de Ré,,,,Q292384,,,7012080,2984309,46.2000,-1.4000,1,1
place-rochelle,place,La Rochelle,La Rochelle,,,,Q82185,,,7009264,3006787,46.1603,-1.1511,22,13
place-roma,place,Rome,Rome,,,,Q220,,,7000874,3169070,41.9028,12.4964,9,6
place-rouen,place,Rouen,Rouen,,,,Q30974,,,7008929,2982652,49.4432,1.0993,1,1
